Unnamed: 0,pChEMBL Value,Canonical,Predict_ann,Proba_ann,Predict_ml,Proba_ml,Predict_GNN,Proba_gnn,Proba_3_model,Predict_3_model,AD
1283,,Cc1ccc(NC(=O)CC2C(=O)Nc3ccccc3[S+]2[O-])cc1C,0,9.96,1,93.128876,0,16.069668,39.71951578776042,1,In
1312,,Clc1ccc(-c2cc(CNC34CC5CC(CC(C5)C3)C4)no2)s1,0,9.31,1,84.314545,0,37.998,43.87418192545573,1,Out
1317,,COc1ccc(-c2cc(CNC34CC5CC(CC(C5)C3)C4)no2)cn1,0,3.32,0,47.87229,1,50.250328,33.81420654296875,1,In
1322,,CN[C@H]1N(OC)c2ccccc2[C@@]12CN=C(SC)S2,0,41.59,1,85.41193,0,36.716003,54.572643229166665,1,In
1323,4.0,CON1c2ccccc2[C@@]2(CN=C(SC)S2)[C@@H]1Nc1ccccc1,1,63.87,1,81.35184,0,23.342335,56.18805603027344,2,In
1324,4.37,CON1c2ccccc2[C@@]2(CN=C(SC)S2)[C@H]1Nc1ccc(C)c(C)c1,0,5.59,1,81.35184,0,20.882332,35.94138966878256,1,In
1355,,CC[C@@]1(C)CCC2c3ccc(O)cc3CC[C@H]2C1C,0,5.81,0,4.94342,0,12.028003,7.59380739847819,0,In
1385,,Nc1ncc2c(n1)-c1ccccc1OC2N1CCCCC1,0,47.67,0,44.599392,0,29.514334,40.59457458496094,0,In
1393,,O=S1(=O)c2ccccc2NC(=S)CC1c1ccccc1,1,80.19,1,81.35184,0,19.420666,60.32083557128906,2,In
1409,,O=C1C=C(c2ccccc2)OC1C1Sc2ccccc2NC1=O,0,29.33,1,88.02502,0,18.948334,45.434450174967445,1,In
1410,,COc1cc([C@@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2cc(OC)c3c(c2)OCO3)cc(OC)c1OC,0,7.17,1,74.85666,0,9.1623335,30.396329854329423,1,In
1424,,Cc1ccc(S(=O)(=O)CC2CCCn3c2c(C#N)c2ccccc23)cc1,0,22.09,1,86.028275,1,86.813324,64.97719950358074,2,In
1433,,CC(Oc1ccc(Cl)cc1Cl)C(=O)NN1C(=O)CSC1c1ccccc1,1,53.09,0,37.67743,1,74.167336,54.97825490315756,2,In
